Hour,Super Area,Area Weight,Demand,Centers,Node Weight,Location.x,Location.y,R values
0,1,0.704970959,1,"35.4770574,-83.3205859;35.0964003,-83.7199136;35.624394,-82.9931607;35.1197519,-83.336188;35.4328955,-83.4643551;35.2190534,-82.7778579;",0.704970959,35.29920894,-83.60877046,"1,1,1,1,1,0"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.769618631,35.45087545,-82.44718003,"0,1,1,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.766693556,35.44505725,-82.50317966,"0,1,0,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.767589685,35.49104974,-82.44632046,"0,1,1,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.766845356,35.40157652,-82.5376643,"0,1,0,0,1,0,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.769222591,35.54181005,-82.36863435,"0,1,1,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.7752185,35.85969547,-81.84846532,"1,1,1,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.792016103,35.60621008,-81.84289009,"1,1,1,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.77754973,35.64554285,-82.09546396,"1,1,1,0,1,1,1,1,1"
0,2,0.77301731,11,"36.1198414,-81.909826;35.5931377,-82.4752757;35.7616931,-81.734942;36.385415,-79.959485;35.6984405,-82.0842901;36.0277763,-82.1496049;35.2686842,-82.1713632;35.4258737,-81.909826;35.888897,-82.345189;",0.776984816,35.58081997,-82.18219642,"1,1,1,0,1,1,1,1,1"
